	hog id
0	138587
1	3123
2	17152
3	140487
4	137922
5	6129
6	140731
7	141548
8	18561
9	5267
10	100135
11	18773
12	18617
13	139051
14	5637
15	17011
16	19086
17	20862
18	18460
19	6032
20	100940
21	139266
22	18933
23	18352
24	17935
