	0
51200	47.049285549714014
1	87.93028332621952
139266	794.459560430812
91819	31.041966397143778
101381	44.94841404259124
19463	26.831127064804676
132990	32.98053930756902
50189	54.26898771037013
63502	61.09998483628884
104463	42.1954277361803
113682	67.68588983329603
110611	30.787194307135923
81940	32.0463956059561
118806	36.35330314290307
126999	19.170928340239154
137240	45.99320325143927
26650	83.84768913831189
24604	99.79054180266745
98337	63.94761520627436
138587	279.13202823769706
122917	32.129929768464734
107558	26.831127064804676
49841	32.12248774452656
99368	29.54341578613963
12329	77.31968959312285
44075	32.12248774452656
77868	43.85155190805874
104499	65.63982585991062
38966	118.42611519105364
66615	28.360716836922446
96316	129.92294208091124
102461	89.40625063196009
48195	37.74017472737635
61510	91.92964099856967
25441	55.25627297129414
61512	36.35330314290307
20555	74.54848375191737
56399	112.50664911547186
80976	55.00549148711781
82787	52.073851125647174
96340	59.20841839278082
68694	45.56269047227134
18519	266.51579308103925
94296	107.97682199757898
49242	30.787194307135923
64610	50.572014772131695
79975	41.88965562041365
136299	76.2062303529807
39021	48.20001383952114
34926	68.40842097657162
36980	275.49112656572737
22645	41.40540649046407
131945	39.39122104818617
135289	53.30621725493321
27770	74.42137489319833
52074	42.1954277361803
119934	31.38305921086433
142465	66.83025391840664
107650	38.596350597969774
67715	26.831127064804676
136324	26.831127064804676
68743	68.81426680650229
90248	32.129929768464734
95371	13.497304537935793
142476	164.04406594470674
137922	304.6336707901473
23694	45.73383539500605
110736	132.57131018210796
5267	374.8834884619435
122734	39.39122104818617
95385	138.35538199398826
99483	214.16343415434855
28698	23.634732628911703
118942	29.54341578613963
93348	13.497304537935793
100519	75.71237519546894
47272	95.09516297478395
18460	729.6866680892268
4911	31.70335518616134
39085	117.4280168456297
19998	42.72852747460814
65719	108.07313485380995
11449	65.74307874274197
37056	144.41578798935566
49345	51.29121995326115
140487	298.01384862160984
142537	199.17017822482944
101580	46.56867296342502
132304	119.5251106445066
102612	180.69821433797821
123093	34.49490243857945
83158	38.410924059048625
121047	56.260570314907056
121050	41.14317411360135
99549	13.497304537935793
110629	30.787194307135923
31218	126.79108176138524
47332	149.27002097888848
73957	87.19507392054395
81131	30.835818108692933
109804	56.811419448273945
49390	45.688998314058324
34031	120.2181598582636
88306	30.787194307135923
48372	121.52570047234644
54142	39.12527967424768
53495	127.42626896061385
95481	34.421283865113566
38138	105.862844085053
93435	13.497304537935793
72954	43.684348608424585
47359	181.16255106305266
78081	31.981296616202464
142595	262.88746700559494
141573	64.56729010605906
140553	101.37315101561687
69902	92.27138054237444
64783	33.75634218894424
108248	52.59446299419358
137490	69.32934958429145
117011	31.98856196393265
45334	45.61291601016794
72983	81.90268304749627
102681	139.7678680613037
36122	56.89904773287752
19043	173.58442684535797
96540	35.814293264240305
140731	317.2273608291596
123166	19.170928340239154
12576	64.25266445077625
82209	41.04959240951457
91869	29.54341578613963
106788	34.49490243857945
75046	88.88844020413887
100648	46.63556965384018
97580	55.63063135876759
